route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
3,L1S3-3-1092-S25_040150_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_040500_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_040900_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_041500_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_041700_3..S03R,L1S3,New Lots Av,1,3..S03R
3,L1S3-3-1092-S25_042100_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_042250_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_042850_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_043000_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_043600_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_043900_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_044250_3..S01R,L1S3,New Lots Av,1,3..S01R
3,L1S3-3-1092-S25_044700_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_045000_3..S03R,L1S3,New Lots Av,1,3..S03R
3,L1S3-3-1092-S25_045450_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_046200_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_047400_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_048000_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_048750_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_049600_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_050400_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_051550_3..N01R,L1S3,Harlem-148 St,0,3..N01R
3,L1S3-3-1092-S25_052250_3..N01R,L1S3,Harlem-148 St,0,3..N01R
4,L1S3-4-1104-S136_000550_4..S01X012,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_001500_4..S13X006,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_003500_4..S13X006,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_005500_4..S13X006,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_007500_4..S13X006,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_009500_4..S13X006,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_011050_4..N13X068,L1S3,Woodlawn,0,
4,L1S3-4-1104-S136_011500_4..S13X006,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_013050_4..N13X068,L1S3,Woodlawn,0,
4,L1S3-4-1104-S136_013500_4..S13X006,L1S3,New Lots Av,1,
4,L1S3-4-1104-S136_015050_4..N13X068,L1S3,Woodlawn,0,
4,L1S3-4-1104-S136_015500_4..S13X006,L1S3,New Lots Av,1,
